[679,null,48,120,1,2400,2400,2400,24000,24,5,10,1500]
[681,986,165,600,1,12000,12000,12000,120000,120,5,10,300]
[682,681,166,600,1,12000,12000,12000,120000,120,5,10,300]
[683,null,582,6000,1,120000,120000,120000,90000,1200,5,10,30]
[684,null,583,6000,1,120000,120000,120000,90000,1200,5,10,30]
[685,null,584,6000,1,120000,120000,120000,90000,1200,5,10,30]
[686,null,620,12000,1,240000,240000,240000,180000,2400,5,10,15]
[687,682,621,12000,1,240000,240000,240000,180000,2400,5,10,15]
[688,null,638,18000,1,360000,360000,360000,270000,3600,5,10,10]
[689,null,585,6000,1,120000,120000,120000,90000,1200,5,10,30]
[690,null,586,6000,1,120000,120000,120000,90000,1200,5,10,30]
[691,null,587,6000,1,120000,120000,120000,90000,1200,5,10,30]
[692,null,622,12000,1,240000,240000,240000,180000,2400,5,10,15]
[693,null,639,18000,1,360000,360000,360000,270000,3600,5,10,10]
[745,null,659,600,1,12000,12000,12000,120000,120,5,10,300]
[746,null,660,600,1,12000,12000,12000,120000,120,5,10,300]
[747,null,661,600,1,12000,12000,12000,120000,120,5,10,300]
[748,null,662,600,1,12000,12000,12000,120000,120,5,10,300]
[749,null,663,600,1,12000,12000,12000,120000,120,5,10,300]
[750,null,664,600,1,12000,12000,12000,120000,120,5,10,300]
[751,null,665,601,1,12000,12000,12000,120000,120,5,10,300]
[752,null,666,600,1,12000,12000,12000,120000,120,5,10,300]
[753,null,667,600,1,12000,12000,12000,120000,120,5,10,300]
[754,null,668,600,1,12000,12000,12000,120000,120,5,10,300]
[755,null,669,600,1,12000,12000,12000,120000,120,5,10,300]
[784,null,482,6000,2,36000,24000,600000,90000,1200,5,10,100]
[785,null,483,600,1,12000,12000,12000,9000,120,5,10,300]
[786,null,499,600,1,12000,12000,12000,9000,120,5,10,300]
[788,null,501,600,1,12000,12000,12000,9000,120,5,10,300]
[790,null,503,600,1,12000,12000,12000,9000,120,5,10,300]
[803,null,202,300,1,6000,6000,6000,4500,60,5,10,1500]
[804,null,203,300,1,6000,6000,6000,4500,60,5,10,1500]
[805,null,204,300,1,6000,6000,6000,4500,60,5,10,1500]
[806,null,205,300,1,6000,6000,6000,4500,60,5,10,1500]
[807,null,206,300,1,6000,6000,6000,4500,60,5,10,1500]
[808,null,207,300,1,6000,6000,6000,4500,60,5,10,1500]
[809,null,208,300,1,6000,6000,6000,4500,60,5,10,1500]
[810,null,209,300,1,6000,6000,6000,4500,60,5,10,1500]
